name,addr
평택자이교실,"경기 평택시 서재로 36 (동삭동, 서재자이아파트)"
북한산아이파크교실,서울 도봉구 창동 826
진주금산교실,경남 진주시 금산면 중천로 84 (장사리)
수원광교 ,"경기 수원시 영통구 센트럴타운로 76 (이의동, 이편한세상광교)"
창의톡톡,"서울 관악구 관악로30길 27 (봉천동, 관악푸르지오1단지아파트)"
전문가해법독서논술,"경기 수원시 영통구 봉영로1517번길 73 (영통동, 삼성.태영 아파트)"
다온교실,"경기 고양시 일산동구 고풍로 44-25 (풍동, 성원아파트)"
슬기교실,"경기 고양시 덕양구 화신로 76 (행신동, 샘터마을1단지아파트)"
영남우방,대구 달서구 이곡공원로 21-1 (이곡동)
캐슬해법독서교실,"서울 강동구 고덕로 133 (암사동, 강동롯데캐슬퍼스트아파트)"
쑥쑥교실,"대구 북구 매천로2길 19 (팔달동, 두산위브2001아파트)"
진구 연지자이,"부산 부산진구 초연로 11 (연지동, 연지자이2차아파트)"
경주 금장새한교실,"경북 경주시 현곡면 안현로 68-7 (금장리, 새한센시빌아파트)"
윤쌤국어논술교습소,경기 용인시 수지구 동천동 914
안천교실,"서울 금천구 한내로 62 (독산동, 한신아파트)"
용인 구갈교실,"경기 용인시 기흥구 강남동로 54 (구갈동, 강남마을7단지계룡리슈빌아파트)"
달콤샘논술,"세종특별자치시 남세종로 357 (소담동, 새샘마을1단지)"
잠원 내담교실,"서울 서초구 신반포로23길 41 (잠원동, 신반포2지구아파트)"
동백계룡교실,"경기 용인시 기흥구 동백평촌로 15 (동백동, 호수마을계룡리슈빌아파트)"
용봉동중흥교실,"광주 북구 서하로106번길 25 (용봉동, 중흥S클래스)"
공감논술,강원 강릉시 율곡초교길47번길 11 (교동)
생각을 키우는 논술,"서울 관악구 남부순환로 1430 (신림동, 신림푸르지오아파트)"
점핑논술,경남 진주시 진양호로 270 (신안동)
신창 지혜밭,"광주 광산구 왕버들로252번길 46 (신창동, 신창도시공사아파트)"
어울림 해법독서논술,충북 청주시 흥덕구 복대동 3366
가음정1교실,"경남 창원시 성산구 대정로 84 (남양동, 피오르빌아파트)"
시흥대원교실,"경기 시흥시 월곶중앙로 64 (월곶동, 풍산프라자)"
대명초,대구 남구 대명로20길 10 (대명동)
금호삼봉,광주 서구 풍암동 974
푸른나무 ,충북 청주시 서원구 수곡동 328
소만마을교실,"경기 고양시 덕양구 화신로 45 (행신동, 무원마을1단지)"
무원유레카교실,경기 고양시 덕양구 행신동 621
구미옥계이편한교실,"경북 구미시 산호대로39길 23 (옥계동, e편한세상아파트)"
상모사곡교실,"경북 구미시 상사서로12길 3 (사곡동, 우원 사곡1차 아파트)"
아름별교실,"경기 고양시 덕양구 원흥1로 11 (원흥동, 원흥마을12단지)"
평택소사벌교실,"경기 평택시 비전3로 36 (비전동, 소사벌 프라자)"
